pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,819.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,824.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,832.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,835.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,830.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,824.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,821.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,821.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,826.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,835.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,836.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,834.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,826.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,823.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,821.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,827.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,836.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,839.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,837.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,826.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,822.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,821.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,828.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,837.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,841.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,838.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,828.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,823.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,824.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,832.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,841.31
